Date,Closing Price (USD)
2016-11-22,4873.84
2016-11-23,4853.86
2016-11-25,4870.02
2016-11-28,4857.02
2016-11-29,4873.21
2016-11-30,4810.81
2016-12-01,4734.10
2016-12-02,4739.37
2016-12-05,4778.14
2016-12-06,4788.67
2016-12-07,4851.94
2016-12-08,4859.19
2016-12-09,4895.90
2016-12-12,4874.30
2016-12-13,4935.84
2016-12-14,4921.22
2016-12-15,4933.41
2016-12-16,4914.86
2016-12-19,4934.85
2016-12-20,4953.80
2016-12-21,4948.90
2016-12-22,4934.39
2016-12-23,4940.02
2016-12-27,4965.81
2016-12-28,4926.29
2016-12-29,4918.28
2016-12-30,4863.62
2017-01-03,4911.33
2017-01-04,4937.21
2017-01-05,4964.95
2017-01-06,5007.08
2017-01-09,5024.90
2017-01-10,5035.17
2017-01-11,5050.21
2017-01-12,5041.43
2017-01-13,5059.51
2017-01-17,5044.65
2017-01-18,5055.85
2017-01-19,5051.17
2017-01-20,5063.20
2017-01-23,5065.70
2017-01-24,5101.06
2017-01-25,5151.47
2017-01-26,5156.92
2017-01-27,5168.06
2017-01-30,5129.33
2017-01-31,5116.77
2017-02-01,5152.69
2017-02-02,5147.70
2017-02-03,5161.60
2017-02-06,5167.96
2017-02-07,5185.88
2017-02-08,5196.58
2017-02-09,5212.16
2017-02-10,5226.69
2017-02-13,5256.82
2017-02-14,5271.07
2017-02-15,5302.39
2017-02-16,5300.64
2017-02-17,5324.72
2017-02-21,5350.73
2017-02-22,5352.13
2017-02-23,5332.37
2017-02-24,5343.31
2017-02-27,5347.55
2017-02-28,5330.31
2017-03-01,5390.99
2017-03-02,5363.26
2017-03-03,5373.48
2017-03-06,5360.31
2017-03-07,5351.28
2017-03-08,5359.80
2017-03-09,5363.98
2017-03-10,5385.90
2017-03-13,5394.57
2017-03-14,5382.17
2017-03-15,5416.25
2017-03-16,5412.08
2017-03-17,5408.76
2017-03-20,5413.31
2017-03-21,5332.53
2017-03-22,5367.56
2017-03-23,5355.14
2017-03-24,5364.00
2017-03-27,5374.27
2017-03-28,5407.21
2017-03-29,5430.27
2017-03-30,5439.74
2017-03-31,5436.23
2017-04-03,5432.20
2017-04-04,5440.41
2017-04-05,5418.52
2017-04-06,5420.88
2017-04-07,5418.37
2017-04-10,5421.68
2017-04-11,5398.40
2017-04-12,5377.03
2017-04-13,5353.59
2017-04-17,5399.20
2017-04-18,5391.66
2017-04-19,5399.64
2017-04-20,5443.53
2017-04-21,5442.05
2017-04-24,5508.03
2017-04-25,5548.19
2017-04-26,5541.09
2017-04-27,5571.28
2017-04-28,5583.53
2017-05-01,5629.63
2017-05-02,5644.07
2017-05-03,5625.16
2017-05-04,5626.32
2017-05-05,5646.09
2017-05-08,5659.07
2017-05-09,5678.31
2017-05-10,5681.68
2017-05-11,5674.22
2017-05-12,5686.81
2017-05-15,5704.48
2017-05-16,5724.44
2017-05-17,5580.55
2017-05-18,5626.31
2017-05-19,5651.56
2017-05-22,5699.40
2017-05-23,5703.35
2017-05-24,5730.30
2017-05-25,5778.37
2017-05-26,5788.36
2017-05-30,5794.63
2017-05-31,5788.80
2017-06-01,5816.51
2017-06-02,5881.46
2017-06-05,5878.12
2017-06-06,5856.77
2017-06-07,5877.59
2017-06-08,5885.30
2017-06-09,5741.94
2017-06-12,5708.18
2017-06-13,5751.82
2017-06-14,5727.07
2017-06-15,5700.89
2017-06-16,5681.48
2017-06-19,5772.22
2017-06-20,5726.31
2017-06-21,5782.39
2017-06-22,5779.87
2017-06-23,5803.11
2017-06-26,5777.59
2017-06-27,5671.60
2017-06-28,5753.03
2017-06-29,5653.02
2017-06-30,5646.92
2017-07-03,5596.96
2017-07-05,5648.82
2017-07-06,5597.90
2017-07-07,5656.47
2017-07-10,5694.15
2017-07-11,5709.80
2017-07-12,5778.95
2017-07-13,5793.36
2017-07-14,5838.08
2017-07-17,5839.74
2017-07-18,5880.10
2017-07-19,5916.16
2017-07-20,5921.22
2017-07-21,5921.52
2017-07-24,5941.37
2017-07-25,5930.65
2017-07-26,5950.73
2017-07-27,5917.03
2017-07-28,5908.92
2017-07-31,5880.33
2017-08-01,5895.17
2017-08-02,5914.23
2017-08-03,5891.20
2017-08-04,5899.91
2017-08-07,5934.73
2017-08-08,5926.35
2017-08-09,5919.39
2017-08-10,5788.19
2017-08-11,5831.53
2017-08-14,5908.17
2017-08-15,5907.73
2017-08-16,5917.42
2017-08-17,5796.32
2017-08-18,5790.91
2017-08-21,5786.54
2017-08-22,5873.33
2017-08-23,5851.78
2017-08-24,5834.44
2017-08-25,5822.53
2017-08-28,5838.08
2017-08-29,5862.14
2017-08-30,5932.90
2017-08-31,5988.60
2017-09-01,5987.90
2017-09-05,5932.73
2017-09-06,5951.13
2017-09-07,5964.31
2017-09-08,5913.37
2017-09-11,5980.53
2017-09-12,5995.64
2017-09-13,6004.38
2017-09-14,5968.82
2017-09-15,5988.00
2017-09-18,5981.12
2017-09-19,5991.08
2017-09-20,5973.60
2017-09-21,5934.91
2017-09-22,5932.32
2017-09-25,5867.35
2017-09-26,5881.34
2017-09-27,5937.79
2017-09-28,5933.07
2017-09-29,5979.30
2017-10-02,5981.92
2017-10-03,5995.06
2017-10-04,5998.84
2017-10-05,6057.14
2017-10-06,6064.57
2017-10-09,6058.53
2017-10-10,6063.52
2017-10-11,6081.25
2017-10-12,6069.99
2017-10-13,6092.45
2017-10-16,6114.53
2017-10-17,6122.61
2017-10-18,6114.35
2017-10-19,6092.62
2017-10-20,6108.82
2017-10-23,6067.83
2017-10-24,6080.22
2017-10-25,6055.04
2017-10-26,6037.87
2017-10-27,6213.47
2017-10-30,6227.59
2017-10-31,6248.56
2017-11-01,6248.65
2017-11-02,6236.39
2017-11-03,6295.58
2017-11-06,6313.61
2017-11-07,6320.78
2017-11-08,6345.81
2017-11-09,6312.21
2017-11-10,6309.07
2017-11-13,6316.18
2017-11-14,6293.64
2017-11-15,6258.36
2017-11-16,6339.14
2017-11-17,6314.51
2017-11-20,6308.61
2017-11-21,6378.63
2017-11-22,6386.12
2017-11-24,6409.29
2017-11-27,6405.97
2017-11-28,6422.56
2017-11-29,6311.38
2017-11-30,6365.56
2017-12-01,6337.87
2017-12-04,6263.70
2017-12-05,6265.11
2017-12-06,6293.05
2017-12-07,6316.28
2017-12-08,6344.57
2017-12-11,6393.89
2017-12-12,6383.65
2017-12-13,6394.67
2017-12-14,6389.91
2017-12-15,6466.32
2017-12-18,6513.27
2017-12-19,6480.67
2017-12-20,6472.48
2017-12-21,6472.69
2017-12-22,6465.17
2017-12-26,6433.16
2017-12-27,6435.15
2017-12-28,6441.42
2017-12-29,6396.42
2018-01-02,6511.34
2018-01-03,6575.80
2018-01-04,6584.58
2018-01-05,6653.29
2018-01-08,6676.63
2018-01-09,6677.94
2018-01-10,6662.66
2018-01-11,6708.49
2018-01-12,6758.54
2018-01-16,6737.14
2018-01-17,6810.28
2018-01-18,6811.38
2018-01-19,6834.33
2018-01-22,6906.28
2018-01-23,6963.46
2018-01-24,6919.35
2018-01-25,6916.30
2018-01-26,7022.97
2018-01-29,6988.32
2018-01-30,6930.73
2018-01-31,6949.99
2018-02-01,6901.50
2018-02-02,6760.29
2018-02-05,6495.92
2018-02-06,6665.98
2018-02-07,6582.02
2018-02-08,6306.10
2018-02-09,6412.68
2018-02-12,6523.85
2018-02-13,6553.86
2018-02-14,6675.03
2018-02-15,6794.92
2018-02-16,6770.66
2018-02-20,6779.69
2018-02-21,6759.26
2018-02-22,6761.85
2018-02-23,6896.60
2018-02-26,6989.10
2018-02-27,6900.35
2018-02-28,6854.42
2018-03-01,6750.54
2018-03-02,6811.04
2018-03-05,6881.28
2018-03-06,6913.02
2018-03-07,6929.39
2018-03-08,6966.43
2018-03-09,7101.18
2018-03-12,7131.12
2018-03-13,7046.51
2018-03-14,7040.98
2018-03-15,7030.97
2018-03-16,7019.95
2018-03-19,6864.88
2018-03-20,6885.92
2018-03-21,6853.45
2018-03-22,6682.26
2018-03-23,6508.09
2018-03-26,6753.83
2018-03-27,6529.84
2018-03-28,6460.81
2018-03-29,6581.13
2018-04-02,6390.84
2018-04-03,6458.83
2018-04-04,6560.059
2018-04-05,6594.84
2018-04-06,6433.215
2018-04-09,6472.344
2018-04-10,6615.871
2018-04-11,6583.445
2018-04-12,6656.254
2018-04-13,6628.344
2018-04-16,6675.18
2018-04-17,6816.367
2018-04-18,6833.211
2018-04-19,6774.887
2018-04-20,6667.75
2018-04-23,6648.805
2018-04-24,6509.047
2018-04-25,6513.941
2018-04-26,6649.652
2018-04-27,6656.352
2018-04-30,6605.57
2018-05-01,6681.961
2018-05-02,6644.477
2018-05-03,6643.48
2018-05-04,6769.117
2018-05-07,6821.875
2018-05-08,6815.484
2018-05-09,6893.215
2018-05-10,6963.547
2018-05-11,6952.563
2018-05-14,6964.371
2018-05-15,6888.535
2018-05-16,6929.965
2018-05-17,6901.633
2018-05-18,6866.254
2018-05-21,6905.531
2018-05-22,6893.621
2018-05-23,6953.629
2018-05-24,6949.699
2018-05-25,6960.918
2018-05-29,6926.543
2018-05-30,6976.367
2018-05-31,6967.73
2018-06-01,7083.926
2018-06-04,7143.57
2018-06-05,7166.754
2018-06-06,7210.082
2018-06-07,7152.832
2018-06-08,7152.621
2018-06-11,7168.48
2018-06-12,7209.184
2018-06-13,7205.254
2018-06-14,7279.594
2018-06-15,7255.754
2018-06-18,7251.406
2018-06-19,7228.043
2018-06-20,7280.703
2018-06-21,7217.488
2018-06-22,7197.512
2018-06-25,7038.172
2018-06-26,7068.195
2018-06-27,6969.672
2018-06-28,7031.605
2018-06-29,7040.801
2018-07-02,7097.82
2018-07-03,7014.555
2018-07-05,7101.047
2018-07-06,7207.332
2018-07-09,7276.00
2018-07-10,7282.598
2018-07-11,7243.98
2018-07-12,7366.25
2018-07-13,7375.816
2018-07-16,7357.898
2018-07-17,7403.891
2018-07-18,7390.125
2018-07-19,7352.359
2018-07-20,7350.227
2018-07-23,7371.781
2018-07-24,7406.246
2018-07-25,7508.586
2018-07-26,7400.75
2018-07-27,7296.781
2018-07-30,7193.102
2018-07-31,7231.984
2018-08-01,7272.887
2018-08-02,7372.148
2018-08-03,7395.488
2018-08-06,7438.996
2018-08-07,7462.652
2018-08-08,7469.547
2018-08-09,7466.961
2018-08-10,7408.305
2018-08-13,7401.168
2018-08-14,7447.168
2018-08-15,7354.66
2018-08-16,7374.293
2018-08-17,7377.543
2018-08-20,7371.418
2018-08-21,7397.227
2018-08-22,7424.594
2018-08-23,7413.84
2018-08-24,7485.402
2018-08-27,7559.133
2018-08-28,7570.246
2018-08-29,7660.18
2018-08-30,7642.668
2018-08-31,7654.555
2018-09-04,7622.324
2018-09-05,7523.258
2018-09-06,7453.168
2018-09-07,7430.262
2018-09-10,7447.676
2018-09-11,7507.871
2018-09-12,7488.066
2018-09-13,7561.688
2018-09-14,7545.496
2018-09-17,7434.73
2018-09-18,7494.398
2018-09-19,7490.324
2018-09-20,7569.035
2018-09-21,7531.07
2018-09-24,7548.75
2018-09-25,7563.195
2018-09-26,7563.086
2018-09-27,7629.574
2018-09-28,7627.648
2018-10-01,7645.453
2018-10-02,7628.277
2018-10-03,7637.426
2018-10-04,7490.004
2018-10-05,7399.008
2018-10-08,7352.824
2018-10-09,7371.617
2018-10-10,7044.496
2018-10-11,6964.027
2018-10-12,7157.207
2018-10-15,7068.672
2018-10-16,7276.426
2018-10-17,7278.633
2018-10-18,7116.09
2018-10-19,7107.234
2018-10-22,7141.211
2018-10-23,7118.676
2018-10-24,6789.156
2018-10-25,7016.391
2018-10-26,6852.406
2018-10-29,6713.902
2018-10-30,6810.121
2018-10-31,6967.094
2018-11-01,7069.172
2018-11-02,6965.293
2018-11-05,6937.09
2018-11-06,6988.848
2018-11-07,7203.133
2018-11-08,7158.59
2018-11-09,7039.148
2018-11-12,6829.098
2018-11-13,6830.906
2018-11-14,6769.871
2018-11-15,6890.445
2018-11-16,6867.016
2018-11-19,6642.918
2018-11-20,6526.965
2018-11-21,6575.664
2018-11-23,6527.348
2018-11-26,6678.34
2018-11-27,6701.035
2018-11-28,6913.324
2018-11-29,6892.398
2018-11-30,6949.016
2018-12-03,7062.133
2018-12-04,6795.215
2018-12-06,6838.852
2018-12-07,6613.273
2018-12-10,6682.742
2018-12-11,6704.238
2018-12-12,6763.957
2018-12-13,6767.973
2018-12-14,6594.965
2018-12-17,6448.387
2018-12-18,6491.516
2018-12-19,6342.969
2018-12-20,6243.195
2018-12-21,6046.555
2018-12-24,5899.355
2018-12-26,6262.766
2018-12-27,6288.301
2018-12-28,6285.266
2018-12-31,6329.965
2019-01-02,6360.871
2019-01-03,6147.129
2019-01-04,6422.672
2019-01-07,6488.254
2019-01-08,6551.848
2019-01-09,6600.695
2019-01-10,6620.941
2019-01-11,6601.395
2019-01-14,6541.039
2019-01-15,6669.637
2019-01-16,6668.563
2019-01-17,6718.453
2019-01-18,6784.609
2019-01-22,6646.813
2019-01-23,6658.762
2019-01-24,6702.547
2019-01-25,6787.371
2019-01-28,6697.086
2019-01-29,6632.793
2019-01-30,6807.91
2019-01-31,6906.84
2019-02-01,6875.52
2019-02-04,6959.957
2019-02-05,7023.52
2019-02-06,6997.621
2019-02-07,6904.98
2019-02-08,6913.129
2019-02-11,6909.184
2019-02-12,7014.668
2019-02-13,7015.875
2019-02-14,7022.418
2019-02-15,7055.18
2019-02-19,7066.613
2019-02-20,7062.34
2019-02-21,7035.164
2019-02-22,7090.625
2019-02-25,7115.426
2019-02-26,7123.215
2019-02-27,7117.004
2019-02-28,7097.527
2019-03-01,7151.57
2019-03-04,7150.832
2019-03-05,7156.785
2019-03-06,7112.469
2019-03-07,7026.883
2019-03-08,7015.691
2019-03-11,7164.02
2019-03-12,7201.281
2019-03-13,7256.98
2019-03-14,7243.012
2019-03-15,7306.988
2019-03-18,7326.281
2019-03-19,7349.277
2019-03-20,7380.754
2019-03-21,7493.27
2019-03-22,7326.059
2019-03-25,7316.957
2019-03-26,7351.148
2019-03-27,7308.191
2019-03-28,7320.473
2019-03-29,7378.773
2019-04-01,7478.414
2019-04-02,7499.641
2019-04-03,7544.973
2019-04-04,7540.566
2019-04-05,7578.84
2019-04-08,7599.742
2019-04-09,7568.484
2019-04-10,7611.488
2019-04-11,7594.891
2019-04-12,7628.148
2019-04-15,7629.121
2019-04-16,7654.73
2019-04-17,7680.719
2019-04-18,7689.715
2019-04-19,7689.715
2019-04-22,7713.496
2019-04-23,7810.707
2019-04-24,7784.414
2019-04-25,7816.918
2019-04-26,7826.68
2019-04-29,7839.039
2019-04-30,7781.457
2019-05-01,7751.848
2019-05-02,7724.055
2019-05-03,7845.73
2019-05-06,7794.094
2019-05-07,7640.148
2019-05-08,7617.551
2019-05-09,7582.746
2019-05-10,7586.531
2019-05-13,7324.133
2019-05-14,7401.883
2019-05-15,7503.246
2019-05-16,7580.141
2019-05-17,7503.68
2019-05-20,7376.703
2019-05-21,7451.02
2019-05-22,7420.656
2019-05-23,7307.934
2019-05-24,7300.961
2019-05-28,7278.375
2019-05-29,7216.859
2019-05-30,7245.402
2019-05-31,7127.957
2019-06-03,6978.016
2019-06-04,7166.746
2019-06-05,7220.902
2019-06-06,7275.926
2019-06-07,7417.293
2019-06-10,7501.93
2019-06-11,7513.848
2019-06-12,7472.293
2019-06-13,7510.684
2019-06-14,7479.113
2019-06-17,7526.52
2019-06-18,7635.398
2019-06-19,7667.738
2019-06-20,7738.055
2019-06-21,7728.781
2019-06-24,7723.023
2019-06-25,7591.535
2019-06-26,7627.051
2019-06-27,7657.047
2019-06-28,7671.074
2019-07-01,7768.137
2019-07-02,7799.824
2019-07-03,7857.691
2019-07-05,7841.301
2019-07-08,7785.785
2019-07-09,7826.859
2019-07-10,7903.402
2019-07-11,7896.777
2019-07-12,7943.242
2019-07-15,7966.926
2019-07-16,7927.078
2019-07-17,7888.762
2019-07-18,7904.133
2019-07-19,7834.898
2019-07-22,7905.121
2019-07-23,7954.563
2019-07-24,8010.605
2019-07-25,7929.867
2019-07-26,8016.953
2019-07-29,7989.082
2019-07-30,7952.473
2019-07-31,7848.781
2019-08-01,7801.145
2019-08-02,7692.801
2019-08-05,7415.691
2019-08-06,7521.32
2019-08-07,7551.898
2019-08-08,7724.828
2019-08-09,7646.27
2019-08-12,7561.684
2019-08-13,7728.152
2019-08-14,7490.129
2019-08-15,7484.887
2019-08-16,7604.109
2019-08-19,7719.324
2019-08-20,7664.473
2019-08-21,7733.215
2019-08-22,7707.426
2019-08-23,7464.996
2019-08-26,7575.02
2019-08-27,7566.027
2019-08-28,7587.895
2019-08-29,7702.313
2019-08-30,7690.996
2019-09-03,7609.512
2019-09-04,7719.246
2019-09-05,7862.539
2019-09-06,7852.539
2019-09-09,7832.402
2019-09-10,7814.742
2019-09-11,7887.582
2019-09-12,7917.34
2019-09-13,7892.953
2019-09-16,7852.414
2019-09-17,7888.785
2019-09-18,7888.555
2019-09-19,7901.793
2019-09-20,7823.555
2019-09-23,7818.609
2019-09-24,7710.043
2019-09-25,7803.543
2019-09-26,7771.992
2019-09-27,7681.578
2019-09-30,7749.449
2019-10-01,7684.141
2019-10-02,7550.785
2019-10-03,7638.395
2019-10-04,7754.102
2019-10-07,7725.129
2019-10-08,7604.27
2019-10-09,7690.527
2019-10-10,7740.363
2019-10-11,7843.875
2019-10-14,7842.332
2019-10-15,7942.852
2019-10-16,7920.207
2019-10-17,7942.145
2019-10-18,7868.492
2019-10-21,7940.332
2019-10-22,7874.617
2019-10-23,7889.473
2019-10-24,7966.719
2019-10-25,8029.219
2019-10-28,8110.668
2019-10-29,8047.508
2019-10-30,8083.113
2019-10-31,8083.832
2019-11-01,8161.168
2019-11-04,8210.664
2019-11-05,8210.176
2019-11-06,8196.027
2019-11-07,8219.645
2019-11-08,8255.887
2019-11-11,8241.91
2019-11-12,8263.789
2019-11-13,8259.813
2019-11-14,8257.832
2019-11-15,8315.523
2019-11-18,8328.48
2019-11-19,8338.738
2019-11-20,8283.754
2019-11-21,8265.617
2019-11-22,8272.051
2019-11-25,8371.93
2019-11-26,8385.746
2019-11-27,8444.707
2019-11-29,8403.684
2019-12-02,8309.262
2019-12-03,8254.738
2019-12-04,8296.531
2019-12-05,8308.398
2019-12-06,8397.367
2019-12-09,8362.742
2019-12-10,8354.293
2019-12-11,8402.609
2019-12-12,8466.895
2019-12-13,8487.707
2019-12-16,8570.336
2019-12-17,8575.699
2019-12-18,8580.625
2019-12-19,8641.293
2019-12-20,8678.492
2019-12-23,8696.008
2019-12-24,8699.504
2019-12-26,8778.313
2019-12-27,8770.98
2019-12-30,8709.727
2019-12-31,8733.074
2020-01-02,8872.219
2020-01-03,8793.902
2020-01-06,8848.516
2020-01-07,8846.449
2020-01-08,8912.371
2020-01-09,8989.629
2020-01-10,8966.637
2020-01-13,9070.648
2020-01-14,9033.422
2020-01-15,9035.668
2020-01-16,9125.00
2020-01-17,9173.734
2020-01-21,9166.629
2020-01-22,9188.574
2020-01-23,9216.984
2020-01-24,9141.469
2020-01-27,8952.18
2020-01-28,9090.934
2020-01-29,9101.613
2020-01-30,9136.086
2020-01-31,8991.512
2020-02-03,9126.23
2020-02-04,9334.055
2020-02-05,9367.48
2020-02-06,9445.918
2020-02-07,9401.098
2020-02-10,9516.84
2020-02-11,9517.859
2020-02-12,9613.199
2020-02-13,9595.703
2020-02-14,9623.582
2020-02-18,9629.801
2020-02-19,9718.727
2020-02-20,9627.832
2020-02-21,9446.688
2020-02-24,9079.633
2020-02-25,8834.867
2020-02-26,8873.758
2020-02-27,8436.668
2020-02-28,8461.836
2020-03-02,8877.977
2020-03-03,8594.492
2020-03-04,8949.281
2020-03-05,8671.66
2020-03-06,8530.336
2020-03-09,7948.027
2020-03-10,8372.266
2020-03-11,8006.117
2020-03-12,7263.652
2020-03-13,7995.262
2020-03-16,7020.375
2020-03-17,7473.949
2020-03-18,7175.176
2020-03-19,7288.523
2020-03-20,6994.293
2020-03-23,7006.918
2020-03-24,7553.824
2020-03-25,7469.617
2020-03-26,7897.129
2020-03-27,7588.371
2020-03-30,7889.004
2020-03-31,7813.50
2020-04-01,7486.285
2020-04-02,7635.656
2020-04-03,7528.113
2020-04-06,8081.664
2020-04-07,8049.309
2020-04-08,8229.543
2020-04-09,8238.527
2020-04-13,8332.738
2020-04-14,8692.156
2020-04-15,8591.957
2020-04-16,8757.832
2020-04-17,8832.414
2020-04-20,8726.512
2020-04-21,8403.004
2020-04-22,8664.633
2020-04-23,8641.496
2020-04-24,8786.602
2020-04-27,8837.656
2020-04-28,8677.602
2020-04-29,8982.762
2020-04-30,9000.508
2020-05-01,8718.18
2020-05-04,8834.109
2020-05-05,8930.617
2020-05-06,8984.859
2020-05-07,9101.875
2020-05-08,9220.355
2020-05-11,9298.922
2020-05-12,9112.449
2020-05-13,9000.078
2020-05-14,9094.426
2020-05-15,9152.641
2020-05-18,9331.926
2020-05-19,9298.543
2020-05-20,9485.02
2020-05-21,9377.992
2020-05-22,9413.988
2020-05-26,9389.977
2020-05-27,9442.047
2020-05-28,9416.715
2020-05-29,9555.523
2020-06-01,9598.887
2020-06-02,9657.309
2020-06-03,9704.688
2020-06-04,9629.664
2020-06-05,9824.391
2020-06-08,9901.52
2020-06-09,9967.176
2020-06-10,10094.258
2020-06-11,9588.48
2020-06-12,9663.773
2020-06-15,9776.891
2020-06-16,9949.367
2020-06-17,9982.48
2020-06-18,10012.055
2020-06-19,10008.645
2020-06-22,10130.332
2020-06-23,10209.816
2020-06-24,10002.699
2020-06-25,10101.836
2020-06-26,9849.355
2020-06-29,9961.164
2020-06-30,10156.852
2020-07-01,10279.246
2020-07-02,10341.891
2020-07-06,10604.059
2020-07-07,10524.012
2020-07-08,10666.699
2020-07-09,10754.59
2020-07-10,10836.332
2020-07-13,10602.207
2020-07-14,10689.52
2020-07-15,10701.68
2020-07-16,10626.461
2020-07-17,10645.219
2020-07-20,10952.074
2020-07-21,10833.074
2020-07-22,10870.754
2020-07-23,10580.59
2020-07-24,10483.133
2020-07-27,10674.375
2020-07-28,10532.50
2020-07-29,10662.984
2020-07-30,10715.508
2020-07-31,10905.883
2020-08-03,11055.078
2020-08-04,11096.539
2020-08-05,11125.438
2020-08-06,11267.086
2020-08-07,11139.387
2020-08-10,11085.168
2020-08-11,10876.078
2020-08-12,11157.723
2020-08-13,11178.371
2020-08-14,11164.445
2020-08-17,11288.57
2020-08-18,11399.031
2020-08-19,11318.645
2020-08-20,11477.047
2020-08-21,11555.164
2020-08-24,11626.172
2020-08-25,11721.805
2020-08-26,11971.941
2020-08-27,11926.16
2020-08-28,11995.855
2020-08-31,12110.699
2020-09-01,12292.863
2020-09-02,12420.543
2020-09-03,11771.367
2020-09-04,11622.133
2020-09-08,11068.258
2020-09-09,11395.848
2020-09-10,11154.125
2020-09-11,11087.402
2020-09-14,11277.762
2020-09-15,11438.875
2020-09-16,11247.598
2020-09-17,11080.949
2020-09-18,10936.98
2020-09-21,10980.219
2020-09-22,11186.371
2020-09-23,10833.332
2020-09-24,10896.469
2020-09-25,11151.133
2020-09-28,11364.449
2020-09-29,11322.953
2020-09-30,11418.063
2020-10-01,11583.203
2020-10-02,11255.695
2020-10-05,11509.063
2020-10-06,11291.273
2020-10-07,11503.195
2020-10-08,11550.941
2020-10-09,11725.852
2020-10-12,12088.105
2020-10-13,12083.172
2020-10-14,11985.359
2020-10-15,11898.574
2020-10-16,11852.168
2020-10-19,11634.348
2020-10-20,11677.836
2020-10-21,11665.367
2020-10-22,11662.914
2020-10-23,11692.57
2020-10-26,11504.52
2020-10-27,11598.945
2020-10-28,11142.754
2020-10-29,11350.742
2020-10-30,11052.945
2020-11-02,11084.758
2020-11-03,11279.91
2020-11-04,11777.016
2020-11-05,12078.066
2020-11-06,12091.344
2020-11-09,11830.387
2020-11-10,11624.285
2020-11-11,11892.93
2020-11-12,11827.141
2020-11-13,11937.84
2020-11-16,12013.38
2020-11-17,11977.49
2020-11-18,11894.71
2020-11-19,11985.43
2020-11-20,11906.44
2020-11-23,11905.94
2020-11-24,12079.81
2020-11-25,12152.22
2020-11-27,12258.21
2020-11-30,12268.32
2020-12-01,12455.33
2020-12-02,12456.41
2020-12-03,12467.13
2020-12-04,12528.48
2020-12-07,12596.47
2020-12-08,12635.72
2020-12-09,12364.64
2020-12-10,12401.74
2020-12-11,12375.41
2020-12-14,12462.21
2020-12-15,12595.92
2020-12-16,12668.16
2020-12-17,12752.06
2020-12-18,12738.18
2020-12-21,12690.26
2020-12-22,12717.56
2020-12-23,12653.14
2020-12-24,12711.01
